file,grade,n_apps,n_apps_hartford,n_apps_suburban,n_offers,n_offers_hartford,n_offers_suburban,operator,school
offers,PK4,,,,8,,,CREC,Montessori Magnet (CREC)
offers,K,,,,,,,CREC,Montessori Magnet (CREC)
offers,1,,,,9,,,CREC,Montessori Magnet (CREC)
offers,2,,,,,,,CREC,Montessori Magnet (CREC)
offers,4,,,,14,,,CREC,Montessori Magnet (CREC)
offers,PK3,,,,81,42,39,CREC,Museum Academy
offers,PK4,,,,21,9,,CREC,Museum Academy
offers,K,,,,39,19,,CREC,Museum Academy
offers,1,,,,17,8,,CREC,Museum Academy
offers,2,,,,14,6,,CREC,Museum Academy
offers,3,,,,6,,,CREC,Museum Academy
offers,4,,,,9,,,CREC,Museum Academy
offers,5,,,,10,,,CREC,Museum Academy
offers,8,,,,13,,,CREC,Public Safety Academy
offers,9,,,,64,25,,CREC,Public Safety Academy
offers,10,,,,16,,,CREC,Public Safety Academy
offers,11,,,,15,7,,CREC,Public Safety Academy
offers,12,,,,,,,CREC,Public Safety Academy
offers,PK3,,,,76,41,,CREC,Reggio Magnet School of the Arts
offers,PK4,,,,30,IO,,CREC,Reggio Magnet School of the Arts
offers,K,,,,75,32,,CREC,Reggio Magnet School of the Arts
offers,1,,,,36,15,,CREC,Reggio Magnet School of the Arts
offers,2,,,,23,,,CREC,Reggio Magnet School of the Arts
offers,3,,,,12,,,CREC,Reggio Magnet School of the Arts
offers,4,,,,25,18,,CREC,Reggio Magnet School of the Arts
offers,5,,,,20,,,CREC,Reggio Magnet School of the Arts
offers,6,,,,287,101,,CREC,Two Rivers Magnet Middle
offers,7,,,,69,40,,CREC,Two Rivers Magnet Middle
offers,8,,,,28,7,,CREC,Two Rivers Magnet Middle
offers,PK3,,,,44,9,35,CREC,University of Hartford Magnet
offers,PK4,,,,7,,,CREC,University of Hartford Magnet
